Al0.29411765,Fe0.20588235,Mo0.23529412,Zr0.26470588
Al0.3125,Fe0.21875,Mo0.28125,Zr0.1875
Al0.3030303,Fe0.21212121,Nb0.24242424,Zr0.24242424
Al0.3030303,Fe0.24242424,Mn0.21212121,Mo0.24242424
Al0.3125,Fe0.28125,Nb0.3125,Ti0.09375
Al0.27777778,Fe0.25,Ni0.25,Ti0.22222222
Al0.32258065,Fe0.29032258,V0.19354839,Zr0.19354839
Al0.37037037,Fe0.37037037,Mo0.07407407,Ni0.18518519
Al0.33333333,Hf0.03333333,Nb0.33333333,W0.3
Al0.4,Hf0.16,Mo0.16,W0.28
Al0.3125,Hf0.125,Nb0.25,W0.3125
Al0.43478261,Hf0.2173913,W0.13043478,Zr0.2173913
Al0.43478261,Hf0.26086957,Mn0.17391304,Zr0.13043478
Al0.55555556,Hf0.33333333,Mo0.05555556,Ni0.05555556
Al0.32258065,Hf0.19354839,Nb0.19354839,W0.29032258
Al0.37037037,Hf0.22222222,Nb0.25925926,Ti0.14814815
Al0.3030303,Hf0.18181818,Ni0.24242424,Ti0.27272727
Al0.33333333,Hf0.2,Ti0.2,Zr0.26666667
Al0.3030303,Hf0.18181818,Ti0.27272727,Zr0.24242424
Al0.41666667,Hf0.25,V0.20833333,W0.125
Al0.43478261,Hf0.30434783,Nb0.13043478,V0.13043478
Al0.32258065,Hf0.22580645,Nb0.12903226,V0.32258065
Al0.3030303,Hf0.21212121,Ti0.24242424,W0.24242424
Al0.35714286,Hf0.28571429,Mn0.03571429,Zr0.32142857
Al0.28571429,Hf0.22857143,Mn0.25714286,Ni0.22857143
Al0.5,Hf0.4,Nb0.05,Zr0.05
Al0.4,Hf0.32,Nb0.2,W0.08
Al0.4,Hf0.32,Nb0.24,Ni0.04
Al0.33333333,Hf0.26666667,Nb0.2,Ni0.2
Al0.29411765,Hf0.23529412,Nb0.20588235,V0.26470588
Al0.29411765,Hf0.23529412,Ti0.23529412,V0.23529412
Al0.4,Hf0.36,Mn0.2,W0.04
